,Location,hostname,interface,hostname.1,interface.1
362,LOS ANGELES,LA-T1A-27GX-HCR01,GE_1/1/2,LA-T1A-RT02,GIGABITETHERNET7/1/4
363,HONGKONG,HK-T1A-RT02-PE,GIGABITETHERNET2/4.299,SI-T1A-SVWX-HPE02,TE_1/1/13:299
364,DURBAN,DUR-T1A-EAOX-HRT01,GE_1/1/1,JOB2-T1A-JHBX-HRT01,GE_1/1/1
365,HONGKONG,HK-T1A-H99X-HCR01,GE_1/1/4,HK-T1A-RT09-ASBR,GIGABITETHERNET0/1/2
366,HONGKONG,HK-T1A-H99X-HCR01,TE_4/1/3,SEO2-T1A-OO7X-HRT01,TE_1/1/14
367,TOKYO,TK-T1A-T0VX-HCR02,TE_3/1/1,TK-T1A-T0VX-HPE01,TE_3/1/3
368,NEW YORK,NY-T1A-N99X-HCR01,GE_1/1/12,NY-T1A-RT04,GIGABITETHERNET0/1
369,JOHANNESBURG,JO-T1A-AJNBA-ACN-RT02,GIGABITETHERNET0/1/0,JO-T1A-AJNBA-ACN-RT01,GIGABITETHERNET0/1/0
370,SINGAPORE,SI-T1A-HCR01,TE_2/1/14,SI-T1A-SVWX-HPE01,TE_1/1/13
371,TAIPEI,TAI-T1A-TJ5X-HRT02,GE_1/1/11,TAI-T1A-RT01,GIGABITETHERNET3/0/0
372,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_1/1/4,SI2-T1A-RT01,GIGABITETHERNET3/0/0
373,PARIS,PAR-T1A-P96X-HCR02,TE_3/1/3,LN2-T1A-LDNX-HRT01,TE_4/2/13
374,MELBOURNE,MLB-T1A-1MEX-HRT01,GE_1/1/11,MLB-T1A-RT01,GIGABITETHERNET7/0/4
375,SYDNEY,SY-T1A-RT01,GIGABITETHERNET4/0/0,SY-T1A-RT03,GIGABITETHERNET3/0/0
376,NEW YORK,NY-T1A-N99X-HCR01,TE_2/2/1,NY-T1A-N99X-HPE01,TE_1/1/13
377,KUALALAMPUR2,KL2-T1A-KT1X-HRT01,GE_1/1/5,KL-T1A-KVDX-HRT01,GE_1/1/8
378,CHICAGO,CH-T1A-RT03,TENGIGABITETHERNET4/2,NY-T1A-CR03,TENGIGABITETHERNET9/2
379,FRANKFURT,FFT-T1A-FNMX-HCR02,TE_5/1/14,FFT-T1A-HPE02,TE_3/1/14
380,FRANKFURT,FFT-T1A-FNMX-HCR02,TE_3/1/4,FFT2-T1A-FEQ-RT02,TENGIGABITETHERNET8/1
381,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/8,BNK-T1A-RT01,GIGABITETHERNET0/0/1
382,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_5/1/4,JO-T1A-RT01,GIGABITETHERNET7/0/4
383,TAIPEI,TAI-T1A-TJ5X-HRT02,STM4_1/2/1,TK-T1A-T0VX-HCR01,STM4_5/2/10
384,SINGAPORE,SI-T1A-ASINX-ACN-RT02,GIGABITETHERNET0/0/0,SI-T1A-HCR01,GE_2/1/8
385,MANILA2,MLA2-T1A-GX0X-HRT01,TE_1/1/13,MLA-T1A-P98X-HRT02,TE_1/1/14
386,TORONTO,TOR-T1A-T6UX-HRT01,TE_5/1/14,TOR2-T1A-TTTX-HRT01,TE_5/1/13
387,LONDON2,LN2-T1A-LDNX-HRT02,TE_1/2/2,LN2-T1A-LDNX-HRT01,TE_1/1/13
388,WARSAW,WA-T1A-WZNX-HRT02,GE_1/1/12,WA-T1A-WZNX-HPE01,GE_1/9/4
389,BALI,BAL-T1A-EAHX-ACN-RT01,GIGABITETHERNET0/0/0,JK-T1A-RT01,GIGABITETHERNET0/0/3
390,SEOUL,SEO-T1A-AICNA-ACN-RT01,GIGABITETHERNET0/1/0,SEO-T1A-AICNA-ACN-RT02,GIGABITETHERNET0/1/0
391,KUALALAMPUR2,KL2-T1A-KT1X-HRT01,GE_1/1/1,KL-T1A-KVDX-HRT01,GE_2/1/6
392,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_1/1/6,TCX-T1A-IH4X-HRT02,GE_2/1/31
393,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET4/2,NJ-T1A-NJYX-HPE02,TE_10/1/14
394,LOS ANGELES,LA-T1A-CR01,TENGIGABITETHERNET4/2,LA-T1A-CR02,TENGIGABITETHERNET4/2
395,NEW YORK,NY-T1A-N99X-HCR01,GE_5/1/1,NY-T1A-RT05,GIGABITETHERNET3/1/2
396,HONGKONG,HK-T1A-RT02-PE,GIGABITETHERNET2/7.199,SI-T1A-SVWX-HPE02,TE_1/1/13:199
397,WARSAW,WA-T1A-WZNX-HRT01,GE_1/1/12,WA-T1A-WZNX-HPE02,GE_1/11/1
398,FRANKFURT2,FFT2-T1A-FEQX-HRT01,TE_2/1/13,PAR-T1A-P96X-HCR02,TE_5/1/1
399,RIYADH,RYD-T1A-RT01,POS3/1/0,BAH-T1A-HRT01,STM1_1/11/1
400,KUALALAMPUR,KL-T1A-YUQX-ACN-RT01,GIGABITETHERNET0/2/1,KL2-T1A-KT1X-HRT01,GE_1/1/6
401,SINGAPORE,TCX-T1A-IH4X-HRT01,GE_1/1/29,SI-T1A-HCR01,GE_3/1/8
402,SEOUL3,SEO3-T1A-OO8X-HRT01,GE_5/1/10,SEO-T1A-AICNA-ACN-RT02,GIGABITETHERNET0/0/0
403,ATLANTA,ATL-T1A-RT02,GIGABITETHERNET3/0/1,ATL-T1A-RT01,GIGABITETHERNET3/0/1
404,MIAMI,MIA-T1A-MLNX-HPE02,GE_1/1/2,MIA-T1A-RT01,GIGABITETHERNET2/1/4
405,CRESSEX,CRX-T1A-HW1X-HRT02,TE_2/2/2,CRX-T1A-HW1X-HRT99,TE_1/1/13
406,LONDON,LN-T1A-L78X-HCR02,GE_5/1/1,LN-T1A-RT04-PE,GIGABITETHERNET7/0/1
407,JOHANNESBURG,JOB-T1A-EOPX-HRT01,GE_2/2/1,GAB-T1A-7B6X-HRT01,GE_1/3/1
408,BANGKOK2,BNK2-T1A-C9VX-HRT01,GE_1/3/1,HK-T1A-H99X-HCR01,GE_1/1/8
409,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET1/0/1,HK-T1A-CR02,GIGABITETHERNET1/0/1
410,HONGKONG,HK-T1A-H99X-HCR01,TE_3/1/2,TK-T1A-T0VX-HCR01,TE_2/1/2
411,LONDON,LN-T1A-HCR01,GE_3/1/1,LN-T1A-RT04-PE,GIGABITETHERNET9/0/1
412,CRESSEX,CRX-T1A-HW1X-HRT99,TE_1/2/14,LN-T1A-HCR01,TE_1/2/2
413,HONGKONG,HK-T1A-H99X-HCR01,GE_5/1/2,HK-T1A-RT08-PE,GIGABITETHERNET3/0/4
414,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_5/1/3,NY-T1A-CR03,TENGIGABITETHERNET2/1
415,NEW YORK,NY-T1A-N99X-HCR01,GE_5/1/2,NY-T1A-RT05,GIGABITETHERNET8/1/1
416,LONDON2,LN2-T1A-LDNX-HRT02,GE_1/1/2,LN-T1A-RT05,GIGABITETHERNET3/0/3
417,LOS ANGELES,LA-T1A-RT02,GIGABITETHERNET7/0/1,LA-T1A-CR02,GIGABITETHERNET3/2
418,NEW YORK,NY-T1A-N99X-HCR01,TE_5/1/13,ASH-T1A-AE6X-HRT03,TE_1/1/13
419,NEW YORK,NY-T1A-N99X-HCR01,GE_1/1/2,NY-T1A-RT01,GIGABITETHERNET4/1/4
420,MELBOURNE,MLB-T1A-1MEX-HRT01,GE_5/1/1,MLB-T1A-RT01,GIGABITETHERNET3/0/1
421,SINGAPORE,SI-T1A-ASINX-ACN-RT02,GIGABITETHERNET0/0/1,SI-T1A-ASINX-ACN-RT01,GIGABITETHERNET0/0/1
422,PARIS,PAR-T1A-P96X-HCR01,TE_1/2/1,FFT-T1A-FNMX-HCR02,TE_3/1/1
423,MANILA,MLA-T1A-P98X-HRT01,TE_2/1/14,SI-T1A-HCR01,TE_3/1/14
424,BALI,BAL-T1A-EAHX-ACN-RT01,GIGABITETHERNET0/1/0,BAL-T1A-EAHX-ACN-RT02,GIGABITETHERNET0/1/0
425,LONDON,LN-T1A-L78X-HCR02,TE_5/2/4,LN2-T1A-LDNX-HRT01,TE_5/1/14
426,JOHANNESBURG,JO-T1A-AJNBA-ACN-RT02,GIGABITETHERNET0/0/1,JO-T1A-AJNBA-ACN-RT01,GIGABITETHERNET0/0/1
427,NEW YORK,NY-T1A-N99X-HCR01,GE_5/1/7,NY-T1A-N99X-HRV01,GE_1/1/1
428,SINGAPORE,SI-T1A-ASINX-ACN-RT02,GIGABITETHERNET0/1/0,SI-T1A-ASINX-ACN-RT01,GIGABITETHERNET0/1/0
429,MIAMI,MIA-T1A-MLNX-HPE02,TE_1/1/14,ATL-T1A-A56X-HRT01,TE_1/1/14
430,MANILA,MLA-T1A-AMNLA-ACN-RT01,GIGABITETHERNET0/0/1,MLA-T1A-AMNLA-ACN-RT02,GIGABITETHERNET0/0/1
431,VIETNAM,VI-T1A-ASGNA-ACN-RT01,GIGABITETHERNET0/1/0,VI-T1A-ASGNA-ACN-RT02,GIGABITETHERNET0/1/0
432,TOKYO,TK-T1A-T0VX-HCR02,TE_1/2/1,TK-T1A-T0VX-HCR01,TE_1/1/14
433,NEW YORK,NY-T1A-RT05,GIGABITETHERNET8/2/2,NY-T1A-CR03,GIGABITETHERNET3/5
434,HANEDA,HAN-T1A-AHNDAX-ACN-RT02,GIGABITETHERNET0/1/0,HAN-T1A-AHNDAX-ACN-RT01,GIGABITETHERNET0/1/0
435,NARITA,NAR-T1A-ANRT1X-ACN-RT02,GIGABITETHERNET0/0/0.1411,TK2-T1A-RT01,GIGABITETHERNET0/0/4.1411
436,TOKYO,TK-T1A-T0VX-HRV01,GE_5/1/1,TK-T1A-T0VX-HCR02,GE_1/1/4
437,BANGKOK2,BNK2-T1A-C9VX-HRT01,GE_1/7/1,BNK-T1A-RT01,GIGABITETHERNET0/0/2
438,SEOUL2,SEO2-T1A-OO7X-HRT01,TE_5/1/14,SEO3-T1A-OO8X-HRT01,TE_1/1/13
439,FRANKFURT,FFT-T1A-FNM-HCR01,GE_3/1/4,FFT-T1A-RT07-ASBR,GIGABITETHERNET0/0/3
440,BUDAPEST,BUD-T1A-RT01,GIGABITETHERNET3/0/1,BUD-T1A-RT02,GIGABITETHERNET3/0/1
441,TORONTO,TOR-T1A-T6UX-HRT01,GE_2/2/3,TOR-T1A-T6UX-RT04,GIGABITETHERNET0/0/0
442,MIAMI,MIA-T1A-MLNX-HPE02,GE_1/1/12,MIA-T1A-RT05-ASBR,GIGABITETHERNET1/0/0
443,HONGKONG,HK-T1A-H99X-HCR01,TE_3/1/4,MLA2-T1A-GX0X-HRT01,TE_5/1/13
444,MILAN,MIL-T1A-RT02,GIGABITETHERNET2/2/3,FFT-T1A-FNM-HCR01,GE_2/1/11
445,NEW YORK,NY-T1A-RT04,GIGABITETHERNET0/2,NY-T1A-CR03,GIGABITETHERNET3/8
446,JOHANNESBURG,JO-T1A-RT01,POS3/2/0,MAU-T1A-RT01,POS1/1/0
447,WARSAW,WA-T1A-WZNX-HRT01,TE_2/1/13,WA-T1A-WZNX-HRT02,TE_2/1/13
448,BANGKOK2,BNK2-T1A-C9VX-HRT01,GE_1/8/1,BNK-T1A-AAAFQX-ACN-RT01,GIGABITETHERNET0/2/1
449,LUANDA,LUA-T1A-ALADA-ACN-RT01,GIGABITETHERNET0/0/0,LUA-T1A-7B5X-HRT01,GE_1/9/5
450,LONDON,LN-T1A-RT02,GIGABITETHERNET0/1,LN-T1A-HCR01,GE_2/1/5
451,HONGKONG,HK-T1A-H99X-HCR01,GE_5/1/1,HK-T1A-RT08-PE,GIGABITETHERNET3/0/3
452,JAKARTA2,JK2-T1A-IJNX-RT01,POS1/1/0,SI-T1A-HCR01,STM1_5/2/1
453,JOHANNESBURG,JO-T1A-RT01,POS3/2/1,DAR-T1A-HRT01,STM1_1/12/1
454,LOS ANGELES,LA-T1A-RT02,GIGABITETHERNET3/0/1,LA-T1A-CR01,GIGABITETHERNET3/10
455,PARIS2,PAR2-T1A-PVUX-HRT02,GE_5/1/1,PAR2-T1A-RT01,GIGABITETHERNET3/1/1
456,MADRID,MA-T1A-WV6X-HRT01,TE_1/1/14,LN-T1A-HCR01,TE_1/2/3
457,HONGKONG,HK-T1A-RT02-PE,GIGABITETHERNET4/0/0,HK-T1A-CR02,GIGABITETHERNET1/0/3
458,KAMPALA,KAM-T1A-HRT01,GE_1/1/3,NAI2-T1A-HRT01,GE_1/8/4
459,HONGKONG2,HK2-T1A-KTHX-HRT02,TE_3/1/14,EMI-T1A-CR01,TENGIGABITETHERNET9/1
460,ISRAEL,ISL-T1A-ATLVA-ACN-RT01,GIGABITETHERNET0/0/1,ISL-T1A-ATLVA-ACN-RT02,GIGABITETHERNET0/0/1
461,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_5/1/2,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET8/1
462,DALLAS,DA-T1A-RT01,GIGABITETHERNET2/2/3,DA-T1A-D0VX-HPE01,GE_2/2/14
463,ATLANTA,ATL-T1A-A56X-HRT01,GE_1/1/2,ATL-T1A-RT01,GIGABITETHERNET2/2/3
464,SANTA CLARA,SC-T1A-CR03,GIGABITETHERNET3/13,SC-T1A-S99X-HPE02,GE_1/1/11
465,PARIS,PAR-T1A-P96X-HCR01,GE_5/2/1,PAR-T1A-RT03,GIGABITETHERNET2/0/0
466,NARITA,NAR-T1A-ANRT1X-ACN-RT01,GIGABITETHERNET0/0/1,NAR-T1A-ANRT1X-ACN-RT02,GIGABITETHERNET0/0/1
467,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET9/2,NJ-T1A-NJYX-HCR02,TE_1/2/3
468,MANILA,MLA-T1A-P98X-HRT02,TE_2/1/13,MLA-T1A-P98X-HRT01,TE_2/1/13
469,HONGKONG,HK-T1A-CR02,GIGABITETHERNET1/0/0,HK-T1A-RT09-ASBR,GIGABITETHERNET1/0/0
470,ZURICH,ZU-T1A-RT01,GIGABITETHERNET3/0/0,ZU-T1A-RT02,GIGABITETHERNET3/0/0
471,VIETNAM2,VI2-T1A-YQLX-HRT01,GE_2/1/15,HK-T1A-H99X-HCR01,GE_5/1/3
472,SYDNEY,SY-T1A-M3HX-HRT01,TE_4/1/14,MLB-T1A-1MEX-HRT01,TE_1/1/14
473,COPENHAGEN,COP-T1A-ACPHB-HRT01,TE_2/1/13,FFT-T1A-FNM-HCR01,TE_2/1/13
474,LUANDA,LUA-T1A-ALADA-ACN-RT02,GIGABITETHERNET0/0/0,LUA-T1A-7B5X-HRT01,GE_1/9/4
475,GENEVA,GEN-T1A-GVSX-HRT01,GE_1/1/2,ZU-T1A-RT02,GIGABITETHERNET3/0/3
476,TORONTO,TOR-T1A-T6UX-HRT01,GE_3/1/3,TOR-T1A-T6UX-RT04,GIGABITETHERNET0/1/1
477,MIAMI,MIA-T1A-MLNX-HPE02,GE_5/1/1,MIA-T1A-RT05-ASBR,GIGABITETHERNET1/0/1
478,MIAMI,MIA-T1A-MLNX-HPE02,TE_5/1/13,MIA-T1A-RT01,TENGIGABITETHERNET4/2
479,TOKYO,TK-T1A-T0VX-HCR02,GE_1/1/1,TK-T1A-T0VX-HCR01,GE_1/1/3
480,MANILA,MLA-T1A-P98X-HRT01,GE_1/1/12,MLA-T1A-AMNLA-ACN-RT02,GIGABITETHERNET0/0/0
481,RIYADH,RYD-T1A-RT01,GIGABITETHERNET4/0/2,DOH-T1A-RT01,GIGABITETHERNET0/0/2
482,NEW YORK,NY-T1A-N99X-HCR01,GE_1/1/4,BRZ-T1A-XXHX-HRT01,GE_1/1/3
483,MANILA,MLA-T1A-P98X-HRT02,GE_1/1/7,MLA-T1A-P98X-RT03,GIGABITETHERNET1/0/0
484,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_1/1/14,NJ-T1A-NJYX-HPE01,TE_1/1/13
485,LOS ANGELES,LA-T1A-RT02,GIGABITETHERNET7/0/3,LA-T1A-CR02,GIGABITETHERNET3/9
486,PARIS,PAR-T1A-PV0X-HPE01,TE_2/1/4,PAR-T1A-P96X-HCR02,TE_3/1/1
487,CAPE TOWN,CAP-T1A-EAGX-HRT01,GE_5/1/2,CAP-T1A-EAGX-HRT02,GE_5/1/2
488,SINGAPORE,SI-T1A-SVWX-HCR02,GE_1/1/2,SI-T1A-RT01,GIGABITETHERNET4/1/1
489,SYDNEY,SY-T1A-1MHX-HRT02,GE_5/1/1,SY-T1A-RT03,GIGABITETHERNET4/0/3
490,FRANKFURT,FFT-T1A-FNM-HCR01,GE_3/1/7,FFT-T1A-RT07-ASBR,GIGABITETHERNET0/0/1
491,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_1/2/1,ASH-T1A-AE6X-HRT01,TE_1/1/14
492,SYDNEY2,SY2-T1A-0PPX-HRT01,TE_5/1/14,SY-T1A-1MHX-HRT02,TE_3/2/1
493,HONGKONG,HK-T1A-H99X-HCR01,STM4_5/2/10,TAI-T1A-RT01,POS2/0/0
494,LOS ANGELES,LA-T1A-27GX-HPE01,GE_1/1/2,LA-T1A-CR01,GIGABITETHERNET3/4
495,ZURICH,ZU-T1A-RT01,GIGABITETHERNET2/1/1,FFT-T1A-FNM-HCR01,GE_2/1/1
496,MOROCCO,MOR-T1A-52WX-HRT01,GE_2/1/23,MOR-T1A-52WX-HRT02,GE_2/1/23
497,FRANKFURT,FFT-T1A-FNMX-HCR02,GE_1/1/6,STO-T1A-STKX-HRT02,GE_1/1/13
498,LONDON,LN-T1A-L78X-HCR02,GE_5/1/2,LN-T1A-RT04-PE,GIGABITETHERNET7/0/0
499,LUANDA,LUA-T1A-ALADA-ACN-RT01,GIGABITETHERNET0/0/1,LUA-T1A-ALADA-ACN-RT02,GIGABITETHERNET0/0/1
500,SINGAPORE2,SI2-T1A-SVQX-HCR01,TE_2/2/4,SI2-T1A-SVQX-HPE01,TE_1/1/13
501,FRANKFURT2,FFT2-T1A-FEQX-HRT01,GE_5/1/2,FFT2-T1A-FEQ-RT02,GIGABITETHERNET7/2
502,PARIS,PAR-T1A-P96X-HCR01,TE_1/1/14,FFT-T1A-FNMX-HCR02,TE_1/1/14
