,Location,hostname,interface,hostname.1,interface.1
181,AMSTERDAM,AM-T1A-HRT03,GE_1/1/3,AM-T1A-RT01,GIGABITETHERNET2/3/1
182,PARIS,PAR-T1A-P96X-HCR01,GE_5/2/3,GEN-T1A-GVSX-HRT01,GE_5/1/2
183,AMSTERDAM,AM-T1A-A99X-HRT01,TE_1/1/14,AM-T1A-HRT03,TE_3/2/1
184,LONDON2,LN2-T1A-LDNX-HRT02,TE_1/2/3,LN-T1A-RT11-PE,TENGIGABITETHERNET7/2
185,HONGKONG2,HK2-T1A-KTHX-HRT02,GE_1/1/5,HK2-T1A-RT01,GIGABITETHERNET4/1/0
186,JAKARTA,JK-T1A-ACGKA-ACN-RT01,GIGABITETHERNET0/0/1,JK-T1A-ACGKA-ACN-RT02,GIGABITETHERNET0/0/1
187,FRANKFURT2,FFT2-T1A-FEQX-HRT01,TE_1/1/13,FFT2-T1A-FEQ-RT02,TENGIGABITETHERNET4/2
188,PARIS,PAR-T1A-P96X-HCR01,GE_1/1/4,PAR2-T1A-RT01,GIGABITETHERNET3/0/3
189,LOS ANGELES,LA-T1A-27GX-HPE01,GE_5/1/2,LA-T1A-CR02,GIGABITETHERNET3/12
190,NEW YORK,NY-T1A-RT05,GIGABITETHERNET3/1/1,NY-T1A-CR02,GIGABITETHERNET3/4
191,ASHBURN,ASH-T1A-AE6X-HRT03,TE_1/1/14,ASH-T1A-AE6X-HRT01,TE_1/1/13
192,NEW JERSEY,NJ-T1A-NJYX-CR02,TENGIGABITETHERNET8/2,NJ-T1A-NJYX-HPE01,TE_9/1/2
193,AMSTERDAM,AM-T1A-HRT03,TE_1/2/1,FFT-T1A-FNM-HCR01,TE_1/1/1
194,SINGAPORE2,SI2-T1A-SVQX-HCR01,TE_5/2/2,EMI-T1A-CR01,TENGIGABITETHERNET4/2
195,LOS ANGELES,LA-T1A-27GX-HPE01,TE_5/1/13,LA-T1A-CR02,TENGIGABITETHERNET2/2
196,KUALALAMPUR,KL-T1A-KVDX-RT03,GIGABITETHERNET0/0/0,KL-T1A-KVDX-HRT01,GE_1/1/9
197,TOKYO,TK-T1A-T0VX-HPE01,TE_1/1/14,TK-T1A-T0VX-HCR01,TE_2/2/3
198,PARIS,PAR-T1A-P96X-HCR01,GE_5/2/2,PAR-T1A-RT03,GIGABITETHERNET3/0/3
199,SYDNEY,SY-T1A-RT01,GIGABITETHERNET4/0/1,SY-T1A-RT03,GIGABITETHERNET3/0/1
200,TOKYO,TK-T1A-T0VX-HCR01,TE_2/1/4.105,HK-T1A-CR02,TENGIGABITETHERNET9/2.105
201,SEOUL,SEO-T1A-AICNA-ACN-RT01,GIGABITETHERNET0/0/1,SEO-T1A-AICNA-ACN-RT02,GIGABITETHERNET0/0/1
202,FRANKFURT,FFT-T1A-FNMX-HCR02,TE_1/2/1,FFT-T1A-FNM-HPE01,TE_5/1/14
203,DUBLIN,DUB-T1A-RT01,GIGABITETHERNET3/0/1,DUB-T1A-RT02,GIGABITETHERNET3/0/1
204,MANCHESTER,MAN-T1A-UKUX-HRT01,GE_5/1/2,LN-T1A-HCR01,GE_2/1/8
205,LONDON2,LN2-T1A-LDNX-HRT01,TE_5/1/13,LN-T1A-RT11-PE,TENGIGABITETHERNET7/1
206,SINGAPORE2,SI2-T1A-SVQX-HCR01,TE_1/1/13,SI2-T1A-SVQX-HCR02,TE_1/1/13
207,CRESSEX,CRX-T1A-HW1X-HRT02,TE_5/1/13,CRX-T1A-HW1X-HRT99,TE_2/1/13
208,LOS ANGELES,LA-T1A-27GX-HPE01,GE_5/1/1,LA-T1A-CR02,GIGABITETHERNET3/11
209,AMSTERDAM,AM-T1A-HRT03,TE_4/1/2,FFT-T1A-FNM-HCR01,TE_4/1/2
210,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_5/2/3,NY-T1A-CR03,TENGIGABITETHERNET7/2
211,STOCKHOLM,STO-T1A-STKX-HRT01,GE_1/3/6,STO-T1A-STKX-HRT02,GE_1/1/11
212,NEW YORK,NY-T1A-RT05,GIGABITETHERNET3/1/0,NY-T1A-CR02,GIGABITETHERNET3/3
213,SANTA CLARA,SC-T1A-CR03,GIGABITETHERNET3/17,SC-T1A-S99X-HPE02,GE_10/1/11
214,MAPUTO,MAP-T1A-1Z9X-HRT01,GE_1/3/1,JO-T1A-RT01,GIGABITETHERNET7/0/3
215,STOCKHOLM,STO-T1A-STKX-HRT01,GE_1/3/4,COP-T1A-ACPHB-HRT01,GE_1/1/1
216,SYDNEY,SY-T1A-1MHX-HRT02,GE_5/1/3,AUK-T1A-RT01,GIGABITETHERNET0/0/2
217,VIETNAM2,VI2-T1A-YQLX-HRT01,GE_1/1/15,VI-T1A-RT01,GIGABITETHERNET1/0/3
218,FUJAIRAH,FUJ-T1A-HRT01,STM1_5/1/1,RYD-T1A-RT01,POS3/1/1
219,LONDON2,LN2-T1A-LDNX-HRT02,TE_3/2/2,LN2-T1A-LDNX-HRT01,TE_3/1/1
220,NEW JERSEY,NJ-T1A-NJYX-CR02,GIGABITETHERNET7/0/0,NJ-T1A-NJYX-HPE02,GE_1/1/10
221,MOSCOW,MOS-T1A-RT02,POS2/2/0,FFT-T1A-FNM-HCR01,STM4_4/2/1
222,PARIS,PAR-T1A-P96X-HCR01,TE_5/2/13,PAR2-T1A-PVUX-HRT02,TE_1/2/1
223,NEW YORK,NY-T1A-CR03,GIGABITETHERNET3/15,NY-T1A-N99X-HPE02,GE_1/1/12
224,SINGAPORE2,SI2-T1A-SVQX-HCR01,TE_5/2/1,SI2-T1A-SVQX-HCR02,TE_5/2/1
225,DUBAI,DU-T1A-RT01,GIGABITETHERNET4/0/0,DU-T1A-RT03,GIGABITETHERNET4/0/0
226,ATLANTA,ATL-T1A-A56X-HRT01,TE_5/1/14,ASH-T1A-AE6X-HRT01,TE_5/1/14
227,HONGKONG,HK-T1A-RT02-PE,GIGABITETHERNET4/0/2,HK-T1A-H99X-HCR01,GE_5/1/4
228,SYDNEY2,SY2-T1A-0PPX-HRT01,GE_5/1/4,AUK-T1A-RT01,GIGABITETHERNET1/0/2
229,DURBAN,DUR-T1A-EAOX-HRT01,GE_5/1/6,CAP-T1A-ACPTA-ACN-RT02,GIGABITETHERNET0/0/0
230,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_5/2/1,NJ-T1A-NJYX-HCR02,TE_1/1/13
231,PARIS,PAR-T1A-P96X-HCR01,GE_5/2/8,LSB-T1A-PV9X-HRT01,GE_1/6/1
232,DURBAN,DUR-T1A-EAOX-HRT01,GE_5/1/1,CAP-T1A-EAGX-HRT02,GE_5/1/1
233,TOKYO,TK-T1A-T0VX-HCR02,GE_1/1/12,TK2-T1A-RT01,GIGABITETHERNET1/0/1
234,MAURITIUS,MAU-T1A-RT02,GIGABITETHERNET0/0/0,MAU-T1A-RT01,GIGABITETHERNET0/0/0
235,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/11,JK-T1A-RT01,GIGABITETHERNET1/2/0
236,SYDNEY2,SY2-T1A-0PPX-HRT01,TE_1/1/14,MLB2-T1A-JN1X-HRT01,TE_3/1/4
