Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
Seattle2, sea2-t1a-emsx-hrt01, 192.168.194.194, TE_1/1/14, 172.31.236.185,65535, SEATTLE, sea-t1a-00sx-hpe01, 192.168.250.193, TE_5/1/13, 172.31.236.186,65535,  americas,0.31
LONDON, ln-t1a-hcr01, 192.168.246.13, STM4_4/2/2, 172.31.26.165,4700, MOSCOW, mos-t1a-rt01, 192.168.246.72, POS2/2/0, 172.31.26.166,4700,  europe,56
TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, GE_1/1/8, 172.31.163.114,20000, OSAKA, osa-t1a-rt01, 192.168.253.41, GigabitEthernet2/0/4, 172.31.163.113,20000,  apac,4
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, TE_3/2/3, 172.31.143.41,15, LONDON, ln-t1a-rt11-PE, 192.168.246.4, TenGigabitEthernet3/1, 172.31.143.42,15,  europe,1
SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_2/1/3, 172.31.100.193,15, SINGAPORE, si-t1a-svwx-rt07-asbr, 192.168.250.30, GigabitEthernet0/3, 172.31.100.194,15,  apac,  
OSAKA, osa-t1a-rt01, 192.168.253.41, GigabitEthernet3/0/1, 192.168.37.245,10, OSAKA, osa-t1a-rt02, 192.168.253.42, GigabitEthernet2/0/1, 192.168.37.246,10,  apac,  
MANILA, mla-t1a-p98x-hrt01, 192.168.201.145, GE_2/1/7, 172.28.129.129,10, MANILA, mla-t1a-p98x-rt03, 192.168.201.153, GigabitEthernet0/0/0, 172.28.129.130,10,  apac,  
TORONTO, tor-t1a-rt02, 192.168.248.66, ge-2/1/0.0, 172.31.122.146,10, TORONTO, tor-t1a-rt01, 192.168.248.67, ge-2/1/0.0, 172.31.122.145,10,  americas,  
DALLAS, da-t1a-rt01, 192.168.187.33, GigabitEthernet2/2/2, 172.23.182.221,100, DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, GE_2/2/13, 172.23.182.222,100,  americas,  
KUALALAMPUR, kl-t1a-kkzx-acn-rt01, 192.168.194.189, GigabitEthernet0/2/1, 172.31.206.122,50000, KUALALAMPUR, kl-t1a-kvdx-hrt01, 192.168.201.139, GE_1/1/10, 172.31.206.121,50000,  apac,  
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, TE_3/1/2, 172.31.142.190,10, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_5/1/14, 172.31.142.189,10,  apac,  
LONDON, ln-t1a-rt06-CE, 192.168.182.7, GigabitEthernet0/3, 172.31.37.18,100, LONDON, ln-t1a-rt04-PE, 192.168.246.6, GigabitEthernet1/30, 172.31.37.17,65000,  europe,  
NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet4/2, 172.28.147.34,65535, NEW YORK, ny-t1a-n99x-hpe01, 192.168.248.78, TE_10/1/14, 172.28.147.33,65535,  americas,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/5, 172.31.36.210,15, SINGAPORE2, si2-t1a-rt02, 192.168.250.11, GigabitEthernet7/2, 172.31.36.209,15,  apac,  
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, GE_5/1/9, 172.31.248.49,10, SYDNEY, sy-t1a-rt01, 192.168.252.1, GigabitEthernet4/1/2, 172.31.248.50,10,  apac,  
SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, STM16_1/2/1, 172.31.206.154,12800, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, STM16_1/2/4, 172.31.206.153,12800,  apac,99.6
CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, TE_5/1/13, 172.31.236.178,1800, DALLAS, da-t1a-rt03, 192.168.251.35, TenGigabitEthernet4/1, 172.31.236.177,1800,  americas,20
Israel, isl-t1a-xxgx-hrt01, 192.168.194.235, GE_2/1/19, 172.31.185.49,65535, Israel, isl-t1a-atlva-acn-rt01, 192.168.201.31, GigabitEthernet0/0/0, 172.31.185.50,65535,  apac,  
SINGAPORE, si-t1a-svwx-hcr02, 192.168.194.131, GE_1/1/6, 172.28.138.14,4000, KUALALAMPUR2, kl2-t1a-kt1x-hrt01, 192.168.194.74, GE_5/1/3, 172.28.138.13,4000,  apac,10.4
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_5/1/13, 172.31.238.206,15, HONGKONG, hk-t1a-h99x-hpe01, 192.168.194.50, TE_10/1/13, 172.31.238.205,15,  apac,  
Israel, isl-t1a-atlva-acn-rt01, 192.168.201.31, GigabitEthernet0/1/0, 172.31.185.29,10, Israel, isl-t1a-atlva-acn-rt02, 192.168.201.33, GigabitEthernet0/1/0, 172.31.185.30,10,  apac,  
NEW JERSEY, nj-t1a-njyx-hcr02, 192.168.201.196, TE_1/2/1, 172.28.147.85,10, NEW JERSEY, nj-t1a-njyx-hpe01, 192.168.248.40, TE_3/2/3, 172.28.147.86,10,  americas,  
ASHBURN, ash-t1a-ae6x-hrt03, 192.168.201.187, TE_2/2/1, 172.28.146.209,10, ASHBURN, ash-t1a-ae6x-hrt01, 92.168.194.135, TE_5/1/13, 172.28.146.210,10,  americas,  
NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, TenGigabitEthernet2/1, 172.31.24.249,5000, LOS ANGELES, la-t1a-cr02, 192.168.248.30, TenGigabitEthernet2/1, 172.31.24.250,5000,  americas,68
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, TE_2/2/3, 172.28.146.158,65535, LOS ANGELES, la-t1a-27gx-hcr01, 192.168.194.229, TE_5/1/1, 172.28.146.157,65535,  americas,  
LOS ANGELES, la-t1a-rt02, 192.168.248.18, GigabitEthernet3/0/0, 172.31.36.249,15, LOS ANGELES, la-t1a-cr01, 192.168.248.28, GigabitEthernet3/2, 172.31.36.250,15,  americas,  
Johannesburg2, job2-t1a-jhbx-hrt01, 192.168.194.177, GE_5/1/1, 172.31.207.105,2000, Johannesburg, job-t1a-eopx-hrt01, 192.168.194.182, GE_1/1/1, 172.31.207.106,2000,  africa,0.95
Narita, nar-t1a-anrt1x-acn-rt01, 192.168.194.237, GigabitEthernet0/0/0.1401, 172.31.204.202,65535, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, GE_5/1/10.1401, 172.31.204.201,65535,  apac,3.04
FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, GE_5/1/1, 172.31.207.145,65535, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, GigabitEthernet7/1, 172.31.207.146,65535,  europe,  
DALLAS, da-t1a-d0vx-hpe01, 192.168.247.23, TE_1/1/13, 172.23.182.218,10, DALLAS, da-t1a-rt03, 192.168.251.35, TenGigabitEthernet4/2, 172.23.182.217,10,  americas,  
HONGKONG, hk-t1a-h99x-hpe02, 192.168.201.121, GE_1/1/8, 172.31.83.93,15, HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet4/5, 172.31.83.94,15,  apac,  
SINGAPORE, tcx-t1a-ih4x-hrt02, 192.168.201.43, GE_2/1/25, 172.31.191.1,10, SINGAPORE, tcx-t1a-ih4x-hrt01, 192.168.201.5, GE_2/1/25, 172.31.191.2,10,  apac,  
SANTA CLARA, sc-t1a-sv1x-hcr01, 192.168.194.203, TE_1/1/13, 172.31.24.126,5000, NEW YORK, ny-t1a-cr03, 192.168.248.75, TenGigabitEthernet7/1, 172.31.24.125,5000,  americas,60
Johannesburg2, job2-t1a-jhbx-hrt01, 192.168.194.177, GE_1/1/4, 172.28.131.218,50000, MAPUTO, map-t1a-1z9x-hrt01, 192.168.194.72, GE_1/7/3, 172.28.131.217,50000,  africa,18.1
KAMPALA, kam-t1a-hrt01, 192.168.246.17, GE_1/1/2, 172.23.182.153,65000, DAR-E-SALAAM, dar-t1a-hrt01, 192.168.246.21, GE_1/7/2, 172.23.182.154,65000,  africa,30.2
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_2/2/3, 172.31.247.174,15, PARIS, par-t1a-pv0x-hpe01, 192.168.194.34, TE_1/1/14, 172.31.247.173,15,  europe,  
LOS ANGELES, la-t1a-cr01, 192.168.248.28, GigabitEthernet3/16, 172.28.146.1,20, LOS ANGELES, la-t1a-cr02, 192.168.248.30, GigabitEthernet3/16, 172.28.146.2,20,  americas,  
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_1/1/5, 192.168.37.150,15, SINGAPORE2, si2-t1a-rt01, 192.168.250.10, GigabitEthernet3/0/1, 192.168.37.149,15,  apac,  
BUDAPEST, bud-t1a-rt01, 192.168.246.88, GigabitEthernet3/0/0, 172.31.102.89,10, BUDAPEST, bud-t1a-rt02, 192.168.246.89, GigabitEthernet3/0/0, 172.31.102.90,10,  europe,  
CAPE TOWN, cap-t1a-eagx-hrt01, 192.168.194.178, GE_1/1/4, 172.31.194.13,10, CAPE TOWN, cap-t1a-rt01, 192.168.246.136, GigabitEthernet0/3, 172.31.194.14,10,  africa,  
Vietnam2, vi2-t1a-yqlx-hrt01, 192.168.194.196, GE_2/1/25, 172.31.82.173,65535, VIETNAM, vi-t1a-asgna-acn-rt02, 192.168.201.112, GigabitEthernet0/0/0, 172.31.82.174,65535,  apac,1
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, GE_1/1/3, 59.163.16.157,100, LONDON, ln-t1a-rt05, 192.168.246.15, GigabitEthernet3/0/0, 59.163.16.158,100,  europe,  
FRANKFURT2, fft2-t1a-feqx-hrt01, 192.168.194.195, TE_2/1/14, 172.31.84.198,10, FRANKFURT2, fft2-t1a-feq-rt02, 192.168.247.9, TenGigabitEthernet8/2, 172.31.84.197,10,  europe,  
MELBOURNE2, mlb2-t1a-jn1x-hrt01, 192.168.194.70, TE_2/2/14, 172.28.138.77,200, MELBOURNE, mlb-t1a-1mex-hrt01, 192.168.201.84, TE_5/1/14, 172.28.138.78,200,  apac,0.37
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, TE_5/1/13, 172.31.191.238,10, SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, TE_3/1/13, 172.31.191.237,10,  apac,  
HELSINKI, hel1-t1a-hrt01, 192.168.246.22, GE_2/1/2, 172.31.194.117,4100, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_2/1/9, 172.31.194.118,4100,  europe,24.5
PARIS, par-t1a-p96x-hcr01, 192.168.194.137, TE_5/2/14, 172.31.207.177,1000, LONDON, ln-t1a-hcr01, 192.168.246.13, TE_3/1/14, 172.31.207.178,1000,  europe,7.9
FRANKFURT, fft-t1a-fnmx-hcr02, 192.168.194.139, GE_5/1/7, 172.31.246.141,3900, WARSAW, wa-t1a-wznx-hrt01, 192.168.201.178, GE_1/1/11, 172.31.246.142,3900,  europe,13.5
SYDNEY, sy-t1a-m3hx-hrt01, 192.168.194.43, TE_1/1/13, 172.31.191.254,10, SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, TE_1/1/13, 172.31.191.253,10,  apac,  
MADRID, ma-t1a-wv6x-hrt01, 192.168.194.22, GE_3/2/20, 172.31.85.229,10000, PARIS, par-t1a-pv0x-hpe01, 192.168.194.34, GE_2/2/20, 172.31.85.230,10000,  europe,26.2
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_2/2/4, 172.31.205.206,15, SINGAPORE2, si2-t1a-svqx-hpe01, 192.168.201.36, GE_3/1/13, 172.31.205.205,15,  apac,  
ATLANTA, atl-t1a-a56x-hrt01, 192.168.194.149, TE_5/1/13, 172.31.197.117,1, ATLANTA, atl-t1a-rt02, 192.168.248.19, TenGigabitEthernet7/1, 172.31.197.118,1,  americas,  
LONDON, ln-t1a-hcr01, 192.168.246.13, TE_4/1/4, 172.28.141.41,15, LONDON, ln-t1a-l78x-hpe02, 192.168.246.171, TE_3/1/13, 172.28.141.42,15,  europe,  
CHICAGO, ch-t1a-rt01, 192.168.184.33, GigabitEthernet7/1/3, 172.23.250.26,100, CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, GE_1/1/1, 172.23.250.25,100,  americas,  
MIAMI, mia-t1a-mlnx-hpe02, 192.168.194.148, GE_1/1/10, 172.28.147.54,65535, ATLANTA, atl-t1a-a56x-rt04, 192.168.201.201, GigabitEthernet0/0/1, 172.28.147.53,65535,  americas,  
SINGAPORE, si-t1a-hcr01, 192.168.250.14, TE_2/2/4:101, 172.28.138.138,5500, TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, TE_2/1/3:101, 172.28.138.137,5500,  apac,65.4
ATLANTA, atl-t1a-a56x-hrt01, 192.168.194.149, TE_1/1/13, 172.31.197.113,1, ATLANTA, atl-t1a-rt02, 192.168.248.19, TenGigabitEthernet4/1, 172.31.197.114,1,  americas,  
NEW JERSEY, nj-t1a-njyx-hcr02, 192.168.201.196, TE_3/1/1, 172.28.147.89,10, NEW JERSEY, nj-t1a-njyx-hpe02, 192.168.248.41, TE_1/1/14, 172.28.147.90,10,  americas,  
NEW YORK, ny-t1a-rt01, 192.168.248.2, GigabitEthernet4/0/1, 172.31.27.246,15, NEW YORK, ny-t1a-cr02, 192.168.248.74, GigabitEthernet3/7, 172.31.27.245,15,  americas,  
AMSTERDAM, am-t1a-a99x-hrt01, 192.168.194.28, TE_5/1/13, 172.31.247.61,15, AMSTERDAM, am-t1a-hrt03, 192.168.246.100, TE_1/1/14, 172.31.247.62,15,  europe,  
TOKYO3, emi-t1a-cr01, 192.168.253.171, POS1/1/0, 172.31.25.210,20000, TOKYO2, tk2-t1a-rt01, 192.168.253.88, POS1/1/1, 172.31.25.209,20000,  apac,2
MANILA, mla-t1a-p98x-hrt02, 192.168.201.144, GE_1/1/9, 172.28.129.153,10, MANILA, mla-t1a-p98x-rt03, 192.168.201.153, GigabitEthernet1/0/2, 172.28.129.154,10,  apac,  
ASHBURN, ash-t1a-ae6x-hrt03, 192.168.201.187, GE_1/1/9, 172.28.146.226,15, ASHBURN, ash-t1a-ae6x-rt04, 192.168.201.188, GigabitEthernet0/0/3, 172.28.146.225,15,  americas,  
NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/14, 172.29.215.73,15, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, GE_1/1/11, 172.29.215.74,15,  americas,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, STM1_1/2/1, 172.31.25.161,3800, JAKARTA, jk-t1a-rt01, 192.168.253.73, POS1/1/0, 172.31.25.162,3800,  apac,  
NEW YORK, ny-t1a-rt01, 192.168.248.2, GigabitEthernet3/1/0, 172.31.24.17,15, NEW YORK, ny-t1a-cr02, 192.168.248.74, GigabitEthernet3/1, 172.31.24.18,15,  americas,  
SINGAPORE, si-t1a-svwx-hcr02, 192.168.194.131, TE_1/1/13, 172.25.85.57,400, SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, TE_1/1/14, 172.25.85.58,400,  apac,0.63
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_5/2/1, 172.31.24.178,10, LONDON, ln-t1a-hcr01, 192.168.246.13, TE_2/1/14, 172.31.24.177,10,  europe,  
JAKARTA, jk-t1a-acgka-acn-rt01, 192.168.201.69, GigabitEthernet0/1/0, 172.31.163.65,10, JAKARTA, jk-t1a-acgka-acn-rt02, 192.168.201.70, GigabitEthernet0/1/0, 172.31.163.66,10,  apac,  
LOS ANGELES, la-t1a-27gx-hpe01, 192.168.194.150, GE_1/1/1, 172.31.236.153,50, LOS ANGELES, la-t1a-cr01, 192.168.248.28, GigabitEthernet3/3, 172.31.236.154,50,  americas,  
GABORONE, gab-t1a-7b6x-hrt01, 192.168.194.71, GE_1/7/3, 172.31.246.61,50000, HARARE, har-t1a-hrt01, 192.168.246.18, GE_1/7/3, 172.31.246.62,50000,  africa,17.3
NEW YORK, ny-t1a-rt01, 192.168.248.2, GigabitEthernet3/1/2, 172.31.36.13,15, NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/1, 172.31.36.14,15,  americas,  
Narita, nar-t1a-anrt1x-acn-rt01, 192.168.194.237, GigabitEthernet0/1/0, 172.26.11.73,65535, Narita, nar-t1a-anrt1x-acn-rt02, 192.168.194.238, GigabitEthernet0/1/0, 172.26.11.74,65535,  apac,  
CAPE TOWN, cap-t1a-rt01, 192.168.246.136, GigabitEthernet0/1, 192.168.37.105,10, CAPE TOWN, cap-t1a-rt02, 192.168.246.137, GigabitEthernet0/1, 192.168.37.106,10,  africa,  
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_5/1/4:541, 172.31.27.133,64000, SEATTLE, sea-t1a-00sx-hpe01, 192.168.250.193, TE_5/1/14:541, 172.31.27.134,64000,  americas,64.2
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_1/1/1, 172.31.59.250,3700, KUALALAMPUR, kl-t1a-kvdx-hrt01, 192.168.201.139, GE_1/1/6, 172.31.59.249,3700,  apac,8.25
LOS ANGELES, la-t1a-cr01, 192.168.248.28, TenGigabitEthernet2/1, 172.31.24.26,800, SANTA CLARA, sc-t1a-cr03, 192.168.251.10, TenGigabitEthernet2/1, 172.31.24.25,800,  americas,12
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/6, 172.31.206.41,40000, DHAKA, dha-t1a-rt01, 192.168.253.83, GigabitEthernet1/0/1, 172.31.206.42,40000,  apac,50
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, TE_1/1/14, 172.28.139.66,15, TOKYO, tk-t1a-t0vx-hpe02, 192.168.201.35, TE_5/1/13, 172.28.139.65,15,  apac,  
SANTA CLARA, sc-t1a-cr03, 192.168.251.10, GigabitEthernet3/12, 172.23.250.110,15, SANTA CLARA, sc-t1a-s99x-hpe01, 192.168.251.17, GE_1/1/11, 172.23.250.109,15,  americas,  
STOCKHOLM, sto-t1a-stkx-hrt02, 192.168.201.88, GE_2/1/43, 172.28.128.214,100, STOCKHOLM, sto-t1a-rt04, 192.168.254.63, GigabitEthernet1/0/1, 172.28.128.213,100,  europe,  
HONGKONG2, hk2-t1a-kthx-hrt01, 192.168.194.185, TE_5/1/13, 172.28.138.42,4000, SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_5/2/3, 172.28.138.41,4000,  apac,  
Johannesburg2, job2-t1a-jhbx-hrt01, 192.168.194.177, GE_5/1/4, 172.28.131.214,50000, NAMIBIA, nam-t1a-xtnx-hrt01, 192.168.246.172, GE_1/10/1, 172.28.131.213,50000,  africa,32.8
DHAKA, dha-t1a-ad8x-rt99, 192.168.201.195, GigabitEthernet1/0/0, 172.28.139.110,65535, DHAKA, dha-t1a-rt01, 192.168.253.83, GigabitEthernet0/0/2, 172.28.139.109,65535,  apac,  
HIGH BRIDGE, hbg-t1a-hb9x-hrt01, 192.168.194.13, TE_2/2/4, 172.28.141.194,10, HIGH BRIDGE, hbg-t1a-hb9x-hrt02, 192.168.201.197, TE_5/1/13, 172.28.141.193,10,  europe,  
DUBAI, du-t1a-rt01, 192.168.252.224, POS9/0/0, 172.29.213.214,1000, FUJAIRAH, fuj-t1a-hrt01, 192.168.252.229, STM4_5/1/11, 172.29.213.213,1000,  middleast,3.4
HONGKONG2, hk2-t1a-kthx-hrt01, 192.168.194.185, TE_1/1/13, 172.31.239.241,100, HONGKONG2, hk2-t1a-rt01, 192.168.253.12, TenGigabitEthernet8/2, 172.31.239.242,100,  apac,  
LONDON, ln-t1a-hcr01, 192.168.246.13, TE_4/1/1, 172.29.217.150,4200, HELSINKI2, hel2-t1a-hrt01, 192.168.246.23, TE_2/1/13, 172.29.217.149,4200,  europe,33.2
PERTH, per-t1a-h9ux-hrt01, 192.168.194.57, GE_5/1/10, 172.31.248.13,12500, SINGAPORE, si-t1a-hcr01, 192.168.250.14, GE_2/1/10, 172.31.248.14,12500,  apac,48.7
MANILA, mla-t1a-p98x-hrt01, 192.168.201.145, GE_2/1/9, 172.31.82.125,10, MANILA, mla-t1a-p98x-rt03, 192.168.201.153, GigabitEthernet0/0/1, 172.31.82.126,10,  apac,  
HONGKONG, hk-t1a-rt08-PE, 192.168.253.16, GigabitEthernet1/0/2, 172.31.25.201,15, HONGKONG, hk-t1a-cr02, 192.168.253.7, GigabitEthernet7/0/2, 172.31.25.202,15,  apac,  
SYDNEY2, sy2-t1a-0ppx-hrt01, 192.168.194.46, GE_1/1/11, 172.28.129.249,110, SYDNEY, sy-t1a-1mhx-hrt02, 192.168.201.54, GE_1/1/3, 172.28.129.250,110,  apac,1.73
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, TE_5/1/14, 172.31.251.245,15, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, TE_1/1/13, 172.31.251.246,15,  americas,  
DOHA2, doh2-t1a-un4x-hrt01, 192.168.194.41, STM4_1/2/9, 172.31.253.89,500, DOHA, doh-t1a-rt01, 192.168.252.240, POS0/2/0, 172.31.253.90,500,  middleast,1
HONGKONG2, hk2-t1a-kthx-hrt01, 192.168.194.185, TE_1/1/14, 172.31.163.198,10, HONGKONG2, hk2-t1a-kthx-hrt02, 192.168.201.73, TE_1/1/13, 172.31.163.197,10,  apac,  
FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, TE_3/1/14, 172.26.11.217,15, FRANKFURT, fft-t1a-fnm-hpe01, 192.168.254.39, TE_2/1/13, 172.26.11.218,15,  europe,  
ISTANBUL, ist-t1a-rt01, 192.168.246.112, GigabitEthernet3/0/2, 172.25.74.198,10000, FRANKFURT, fft-t1a-fnm-hcr01, 192.168.247.12, GE_2/1/5, 172.25.74.197,10000,  europe,42.1
NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/16, 172.29.215.81,15, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, GE_10/1/11, 172.29.215.82,15,  americas,  
LONDON, ln-t1a-hcr01, 192.168.246.13, TE_2/1/13, 172.23.182.5,15, LONDON, ln-t1a-l78x-hpe01, 192.168.246.170, TE_1/1/13, 172.23.182.6,15,  europe,  
HELSINKI, hel1-t1a-hrt01, 192.168.246.22, GE_4/1/7, 172.31.84.138,100, HELSINKI2, hel2-t1a-hrt01, 192.168.246.23, GE_4/1/6, 172.31.84.137,100,  europe,0.58
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, GE_1/1/4, 172.31.248.253,15, SINGAPORE2, si2-t1a-rt02, 192.168.250.11, GigabitEthernet7/3, 172.31.248.254,15,  apac,  
NEW YORK, ny-t1a-n99x-hpe01, 192.168.248.78, TE_10/1/13, 172.31.251.209,15, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, TE_10/1/13, 172.31.251.210,15,  americas,  
MAURITIUS, mau-t1a-rt02, 192.168.251.116, GigabitEthernet1/0/0, 172.31.25.62,10, MAURITIUS, mau-t1a-rt01, 192.168.253.170, GigabitEthernet1/0/0, 172.31.25.61,10,  africa,  
PARIS, par-t1a-p96x-hcr02, 192.168.201.120, GE_1/1/1, 172.28.128.101,15, PARIS, par-t1a-rt03, 192.168.246.69, GigabitEthernet2/1/3, 172.28.128.102,15,  europe,  
SINGAPORE2, si2-t1a-svqx-hcr01, 192.168.194.47, TE_5/2/4, 172.31.205.210,15, SINGAPORE2, si2-t1a-svqx-hpe02, 192.168.201.37, TE_1/1/13, 172.31.205.209,15,  apac,  
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_2/2/4, 172.28.140.254,10, LONDON, ln-t1a-hcr01, 192.168.246.13, TE_4/1/2, 172.28.140.253,10,  europe,  
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, TE_1/1/13, 172.31.16.169,200, TOKYO3, emi-t1a-cr01, 192.168.253.171, TenGigabitEthernet7/1, 172.31.16.170,200,  apac,1
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, GE_1/1/10, 172.31.197.245,100, NEW JERSEY, nj-t1a-njyx-cr02, 192.168.194.4, GigabitEthernet7/0/2, 172.31.197.246,100,  americas,  
LONDON, ln-t1a-l78x-hcr02, 192.168.194.138, TE_2/2/2, 172.31.26.226,500, AMSTERDAM, am-t1a-a99x-hrt01, 192.168.194.28, TE_1/1/13, 172.31.26.225,500,  europe,5.4
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, GE_1/1/11, 172.31.236.41,10, TORONTO, tor-t1a-rt01, 192.168.248.67, ge-3/1/0.0, 172.31.236.42,10,  americas,  
TORONTO, tor-t1a-t6ux-hrt01, 192.168.194.144, GE_1/1/5, 172.28.146.129,65535, TORONTO, tor-t1a-t6ux-rt02, 192.168.201.185, GigabitEthernet0/0/0, 172.28.146.130,65535,  americas,  
MANILA, mla-t1a-p98x-hrt02, 192.168.201.144, TE_1/1/13, 172.28.129.169,10, MANILA, mla-t1a-p98x-hrt01, 192.168.201.145, TE_1/1/13, 172.28.129.170,10,  apac,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_5/1/3, 172.31.236.17,15, NEW YORK, ny-t1a-rt02, 192.168.248.3, GigabitEthernet1/10, 172.31.236.18,15,  americas,  
MANCHESTER, man-t1a-ukux-hrt01, 192.168.194.186, GE_1/1/6, 172.31.207.13,25000, AMSTERDAM, am-t1a-hrt03, 192.168.246.100, GE_1/1/6, 172.31.207.14,25000,  europe,14.5
STOCKHOLM, sto-t1a-stkx-hrt01, 192.168.194.155, GE_1/7/5, 172.31.84.122,100, STOCKHOLM, sto-t1a-stkx-hrt02, 192.168.201.88, GE_2/1/41, 172.31.84.121,100,  europe,  
CAPE TOWN, cap-t1a-acpta-acn-rt01, 192.168.201.75, GigabitEthernet0/0/1, 172.28.128.45,65535, CAPE TOWN, cap-t1a-acpta-acn-rt02, 192.168.201.76, GigabitEthernet0/0/1, 172.28.128.46,65535,  africa,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_1/1/13, 172.31.248.85,10, HONGKONG, hk-t1a-cr02, 192.168.253.7, TenGigabitEthernet3/1, 172.31.248.86,10,  apac,  
LOS ANGELES, la-t1a-27gx-hcr01, 192.168.194.229, GE_1/1/2, 172.28.146.169,65535, LOS ANGELES, la-t1a-rt02, 192.168.248.18, GigabitEthernet7/1/4, 172.28.146.170,65535,  americas,  
HONGKONG, hk-t1a-rt02-PE, 192.168.189.2, GigabitEthernet2/4.299, 172.31.204.133,65000, SINGAPORE, si-t1a-svwx-hpe02, 192.168.250.15, TE_1/1/13:299, 172.31.204.134,65535,  apac,37.7
Durban, dur-t1a-eaox-hrt01, 192.168.194.175, GE_1/1/1, 172.31.207.38,4100, Johannesburg2, job2-t1a-jhbx-hrt01, 192.168.194.177, GE_1/1/1, 172.31.207.37,4100,  africa,8.52
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_1/1/4, 172.31.253.217,15, HONGKONG, hk-t1a-rt09-ASBR, 192.168.253.8, GigabitEthernet0/1/2, 172.31.253.218,15,  apac,  
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_4/1/3, 172.31.83.233,4300, SEOUL2, seo2-t1a-OO7x-hrt01, 192.168.194.76, TE_1/1/14, 172.31.83.234,4300,  apac,51
TOKYO, tk-t1a-t0vx-hcr02, 192.168.201.191, TE_3/1/1, 172.28.139.62,15, TOKYO, tk-t1a-t0vx-hpe01, 192.168.253.173, TE_3/1/3, 172.28.139.61,15,  apac,  
NEW YORK, ny-t1a-n99x-hcr01, 192.168.194.136, GE_1/1/12, 172.31.122.29,15, NEW YORK, ny-t1a-rt04, 192.168.248.7, GigabitEthernet0/1, 172.31.122.30,15,  americas,  
