Location,hostname,hostIP,interface,InterfaceIP,,Location,hostname,hostIP,interface,InterfaceIP,,Region,
Johannesburg2, job2-t1a-jhbx-hrt01, 192.168.194.177, GE_5/1/11, 172.28.140.197,65000, DAR-E-SALAAM, dar-t1a-hrt01, 192.168.246.21, GE_1/8/5, 172.28.140.198,65000,  africa,54.2
HELSINKI, hel1-t1a-hrt01, 192.168.246.22, GE_2/1/4, 172.31.84.133,100, HELSINKI2, hel2-t1a-hrt01, 192.168.246.23, GE_2/1/4, 172.31.84.134,100,  europe,0.47
CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, TE_1/1/13, 172.31.197.153,10, CHICAGO, ch-t1a-rt03, 192.168.248.21, TenGigabitEthernet9/1, 172.31.197.154,10,  americas,  
CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, TE_4/1/1, 172.31.202.221,10, CHICAGO, ch-t1a-rt03, 192.168.248.21, TenGigabitEthernet4/1, 172.31.202.222,10,  americas,  
STOCKHOLM, sto-t1a-stkx-hrt02, 192.168.201.88, GE_1/1/41, 172.28.128.210,100, STOCKHOLM, sto-t1a-rt04, 192.168.254.63, GigabitEthernet0/0/0, 172.28.128.209,100,  europe,  
NEW YORK, ny-t1a-cr03, 192.168.248.75, GigabitEthernet3/18, 172.29.215.85,15, NEW YORK, ny-t1a-n99x-hpe02, 192.168.248.79, GE_10/1/12, 172.29.215.86,15,  americas,  
ATLANTA, atl-t1a-rt02, 192.168.248.19, GigabitEthernet3/0/0, 192.168.38.82,15, ATLANTA, atl-t1a-rt01, 192.168.248.27, GigabitEthernet3/0/0, 192.168.38.81,15,  americas,  
TOKYO, tk-t1a-t0vx-hcr01, 192.168.253.174, GE_5/1/5, 172.31.206.221,60000, TAIPEI, tai-t1a-rt01, 192.168.253.56, GigabitEthernet3/0/4, 172.31.206.222,60000,  apac,28
BUDAPEST, bud-t1a-rt01, 192.168.246.88, GigabitEthernet2/1/4, 172.31.85.45,10, BUDAPEST, bud-t1a-rt02, 192.168.246.89, GigabitEthernet2/1/1, 172.31.85.46,10,  europe,  
CHICAGO, ch-t1a-ct8x-hpe01, 192.168.200.17, STM4_3/1/13, 172.23.250.29,1000, CHICAGO, ch-t1a-rt03, 192.168.248.21, POS2/3/0, 172.23.250.30,1000,  americas,  
Haneda, han-t1a-ahndax-acn-rt02, 192.168.201.71, GigabitEthernet0/0/0.119, 172.31.163.106,45000, TOKYO2, tk2-t1a-rt01, 192.168.253.88, GigabitEthernet0/0/4.119, 172.31.163.105,45000,  apac,3
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, TE_1/1/14, 172.31.248.185,3895, MANILA2, mla2-t1a-gx0x-hrt01, 192.168.194.93, TE_1/1/14, 172.31.248.186,3885,  apac,18.3
HONGKONG, hk-t1a-h99x-hcr01, 192.168.194.49, GE_1/1/3, 172.31.253.213,15, HONGKONG, hk-t1a-rt09-ASBR, 192.168.253.8, GigabitEthernet0/1/1, 172.31.253.214,15,  apac,  
SINGAPORE2, si2-t1a-svqx-hcr02, 192.168.194.48, GE_1/1/3, 172.31.25.114,15, SINGAPORE2, si2-t1a-rt02, 192.168.250.11, GigabitEthernet4/1/2, 172.31.25.113,15,  apac,  
CAPE TOWN, cap-t1a-eagx-hrt01, 192.168.194.178, GE_1/1/2, 172.31.207.41,10, CAPE TOWN, cap-t1a-eagx-hrt02, 192.168.194.179, GE_1/1/2, 172.31.207.42,10,  africa,  
DALLAS, da-t1a-rt01, 192.168.187.33, GigabitEthernet2/1/3, 172.31.125.110,10, DALLAS, da-t1a-rt03, 192.168.251.35, GigabitEthernet3/0/0, 172.31.125.109,10,  americas,  
LONDON2, ln2-t1a-ldnx-hrt02, 192.168.201.127, TE_1/1/13, 172.31.143.205,100, LONDON, ln-t1a-hcr01, 192.168.246.13, TE_1/2/1, 172.31.143.206,100,  europe,0.26
NEW JERSEY, nj-t1a-njyx-hcr01, 192.168.194.212, TE_5/1/1, 172.31.197.242,15, NEW JERSEY, nj-t1a-njyx-hpe02, 192.168.248.41, TE_9/1/13, 172.31.197.241,15,  americas,  
DUBAI, du-t1a-rt01, 192.168.252.224, GigabitEthernet9/3/1, 172.28.140.85,10, DUBAI, du-t1a-rt03, 192.168.252.225, GigabitEthernet9/3/1, 172.28.140.86,10,  middleast,  
LONDON, ln-t1a-l78x-hrv01, 192.168.194.201, GE_1/1/1, 172.31.207.173,65535, LONDON, ln-t1a-hcr01, 192.168.246.13, GE_3/1/6, 172.31.207.174,65535,  europe,  
