,Location,hostname,interface,hostname.1,interface.1,_merge
874,MOROCCO,MOR-T1A-52WX-HRT01,P2/1/23,MOR-T1A-52WX-HRT02,P2/1/23,right_only
875,MOROCCO,MOR-T1A-52WX-HRT01,P2/1/23,MOR-T1A-52WX-HRT02,P2/1/23,right_only
876,MOROCCO,MOR-T1A-52WX-HRT02,P1/1/23,MOR-T1A-52WX-HRT01,P1/1/23,right_only
877,MOROCCO,MOR-T1A-52WX-HRT02,P1/1/23,MOR-T1A-52WX-HRT01,P1/1/23,right_only
878,MOROCCO,MOR-T1A-52WX-HRT02,P2/1/23,MOR-T1A-52WX-HRT01,P2/1/23,right_only
879,MOROCCO,MOR-T1A-52WX-HRT02,P2/1/23,MOR-T1A-52WX-HRT01,P2/1/23,right_only
880,MOROCCO,MOR-T1A-52WX-HRT02,P2/1/25,PAR2-T1A-RT01,GI3/2/3,right_only
881,MOROCCO,MOR-T1A-52WX-HRT02,P2/1/25,PAR2-T1A-RT01,GI3/2/3,right_only
882,MOSCOW,MOS-T1A-RT01,GI3/1/0,MOS-T1A-RT02,GI3/1/0,right_only
883,MOSCOW,MOS-T1A-RT01,GI3/1/0,MOS-T1A-RT02,GI3/1/0,right_only
884,MOSCOW,MOS-T1A-RT01,GI3/0/0,MOS-T1A-RT02,GI3/0/0,right_only
885,MOSCOW,MOS-T1A-RT01,GI3/0/0,MOS-T1A-RT02,GI3/0/0,right_only
886,MOSCOW,MOS-T1A-RT01,POS2/2/0,LN-T1A-HCR01,P4/2/2,right_only
887,MOSCOW,MOS-T1A-RT01,POS2/2/0,LN-T1A-HCR01,P4/2/2,right_only
888,MOSCOW,MOS-T1A-RT02,GI3/1/0,MOS-T1A-RT01,GI3/1/0,right_only
889,MOSCOW,MOS-T1A-RT02,GI3/1/0,MOS-T1A-RT01,GI3/1/0,right_only
890,MOSCOW,MOS-T1A-RT02,GI3/0/0,MOS-T1A-RT01,GI3/0/0,right_only
891,MOSCOW,MOS-T1A-RT02,GI3/0/0,MOS-T1A-RT01,GI3/0/0,right_only
892,MOSCOW,MOS-T1A-RT02,POS2/2/0,FFT-T1A-FNM-HCR01,P4/2/1,right_only
893,MOSCOW,MOS-T1A-RT02,POS2/2/0,FFT-T1A-FNM-HCR01,P4/2/1,right_only
894,MILAN,MIL-T1A-ITMX-HRT01,P1/1/1,MIL-T1A-RT02,GI3/0/4,right_only
895,MILAN,MIL-T1A-ITMX-HRT01,P1/1/1,MIL-T1A-RT02,GI3/0/4,right_only
896,MILAN,MIL-T1A-ITMX-HRT01,P1/1/2,MIL-T1A-RT02,GI3/0/3,right_only
897,MILAN,MIL-T1A-ITMX-HRT01,P1/1/2,MIL-T1A-RT02,GI3/0/3,right_only
898,MILAN,MIL-T1A-ITMX-HRT01,P5/1/13,FFT-T1A-FNM-HCR01,P2/2/3,right_only
899,MILAN,MIL-T1A-ITMX-HRT01,P5/1/13,FFT-T1A-FNM-HCR01,P2/2/3,right_only
900,MILAN,MIL-T1A-RT02,GI2/2/2,PAR-T1A-P96X-HCR01,P1/1/5,right_only
901,MILAN,MIL-T1A-RT02,GI2/2/2,PAR-T1A-P96X-HCR01,P1/1/5,right_only
902,MILAN,MIL-T1A-RT02,GI2/2/3,FFT-T1A-FNM-HCR01,P2/1/11,right_only
903,MILAN,MIL-T1A-RT02,GI2/2/3,FFT-T1A-FNM-HCR01,P2/1/11,right_only
904,MILAN,MIL-T1A-RT02,GI3/0/3,MIL-T1A-ITMX-HRT01,P1/1/2,right_only
905,MILAN,MIL-T1A-RT02,GI3/0/3,MIL-T1A-ITMX-HRT01,P1/1/2,right_only
906,MILAN,MIL-T1A-RT02,GI3/0/4,MIL-T1A-ITMX-HRT01,P1/1/1,right_only
907,MILAN,MIL-T1A-RT02,GI3/0/4,MIL-T1A-ITMX-HRT01,P1/1/1,right_only
908,MADRID,MA-T1A-WV6X-HRT01,P5/1/12,MA-T1A-RT01,GI4/2/2,right_only
909,MADRID,MA-T1A-WV6X-HRT01,P5/1/12,MA-T1A-RT01,GI4/2/2,right_only
910,MADRID,MA-T1A-WV6X-HRT01,P1/1/12,MA-T1A-RT01,GI2/1/1,right_only
911,MADRID,MA-T1A-WV6X-HRT01,P1/1/12,MA-T1A-RT01,GI2/1/1,right_only
912,MADRID,MA-T1A-WV6X-HRT01,P3/1/1,PAR-T1A-P96X-HCR01,P5/1/1,right_only
913,MADRID,MA-T1A-WV6X-HRT01,P3/1/1,PAR-T1A-P96X-HCR01,P5/1/1,right_only
914,MADRID,MA-T1A-WV6X-HRT01,P1/1/9,MOR-T1A-52WX-HRT01,P2/1/25,right_only
915,MADRID,MA-T1A-WV6X-HRT01,P1/1/9,MOR-T1A-52WX-HRT01,P2/1/25,right_only
916,MADRID,MA-T1A-WV6X-HRT01,P1/1/14,LN-T1A-HCR01,P1/2/3,right_only
917,MADRID,MA-T1A-WV6X-HRT01,P1/1/14,LN-T1A-HCR01,P1/2/3,right_only
918,MADRID,MA-T1A-WV6X-HRT01,P3/2/20,PAR-T1A-PV0X-HPE01,P2/2/20,right_only
919,MADRID,MA-T1A-WV6X-HRT01,P3/2/20,PAR-T1A-PV0X-HPE01,P2/2/20,right_only
920,MADRID,MA-T1A-RT01,GI4/2/2,MA-T1A-WV6X-HRT01,P5/1/12,right_only
921,MADRID,MA-T1A-RT01,GI4/2/2,MA-T1A-WV6X-HRT01,P5/1/12,right_only
922,MADRID,MA-T1A-RT01,GI2/1/1,MA-T1A-WV6X-HRT01,P1/1/12,right_only
923,MADRID,MA-T1A-RT01,GI2/1/1,MA-T1A-WV6X-HRT01,P1/1/12,right_only
924,MANCHESTER,MAN-T1A-UKUX-HRT01,P1/1/6,AM-T1A-HRT03,P1/1/6,right_only
925,MANCHESTER,MAN-T1A-UKUX-HRT01,P1/1/6,AM-T1A-HRT03,P1/1/6,right_only
926,MANCHESTER,MAN-T1A-UKUX-HRT01,P5/1/2,LN-T1A-HCR01,P2/1/8,right_only
927,MANCHESTER,MAN-T1A-UKUX-HRT01,P5/1/2,LN-T1A-HCR01,P2/1/8,right_only
928,LISBON,LSB-T1A-PV9X-HRT01,P1/5/1,LN-T1A-L78X-HCR02,P5/1/8,right_only
929,LISBON,LSB-T1A-PV9X-HRT01,P1/5/1,LN-T1A-L78X-HCR02,P5/1/8,right_only
930,LISBON,LSB-T1A-PV9X-HRT01,P1/6/1,PAR-T1A-P96X-HCR01,P5/2/8,right_only
931,LISBON,LSB-T1A-PV9X-HRT01,P1/6/1,PAR-T1A-P96X-HCR01,P5/2/8,right_only
932,PARIS-II,PAR2-T1A-RT01,GI3/2/3,MOR-T1A-52WX-HRT02,P2/1/25,right_only
933,PARIS-II,PAR2-T1A-RT01,TE4/1,PAR-T1A-P96X-HCR02,P3/1/2,right_only
934,PARIS-II,PAR2-T1A-RT01,GI3/1/1,PAR2-T1A-PVUX-HRT02,P5/1/1,right_only
935,PARIS-II,PAR2-T1A-RT01,GI3/1/4,PAR2-T1A-PVUX-HRT02,P1/1/1,right_only
936,PARIS-II,PAR2-T1A-RT01,POS2/1/0,HBG-T1A-HB9X-HRT01,P3/1/10,right_only
937,PARIS-II,PAR2-T1A-RT01,GI3/0/3,PAR-T1A-P96X-HCR01,P1/1/4,right_only
938,PARIS-II,PAR2-T1A-PVUX-HRT02,P1/1/1,PAR2-T1A-RT01,GI3/1/4,right_only
939,PARIS-II,PAR2-T1A-PVUX-HRT02,P5/1/1,PAR2-T1A-RT01,GI3/1/1,right_only
940,PARIS-II,PAR2-T1A-PVUX-HRT02,P1/2/1,PAR-T1A-P96X-HCR01,P5/2/13,right_only
941,AMSTERDAM,AM-T1A-RT01,GI4/1/0,AM-T1A-A99X-HRT01,GE_5/1/3,right_only
942,AMSTERDAM,AM-T1A-RT01,GI2/3/1,AM-T1A-HRT03,GE_1/1/3,right_only
943,AMSTERDAM,AM-T1A-A99X-HRT01,TE_1/1/13,LN-T1A-L78X-HCR02,TE_2/2/2,right_only
944,AMSTERDAM,AM-T1A-A99X-HRT01,GE_5/1/3,AM-T1A-RT01,GIT4/1/0,right_only
945,AMSTERDAM,AM-T1A-A99X-HRT01,TE_3/1/1,LN-T1A-L78X-HCR02,TE_3/1/4,right_only
946,AMSTERDAM,AM-T1A-HRT03,GE_1/1/3,AM-T1A-RT01,GI2/3/1,right_only
947,AMSTERDAM,AM-T1A-HRT03,TE_2/1/13,PAR-T1A-P96X-HCR02,TE_3/2/1,right_only
948,AMSTERDAM,AM-T1A-HRT03,TE_3/2/1,AM-T1A-A99X-HRT01,TE_1/1/14,right_only
949,AMSTERDAM,AM-T1A-HRT03,TE_1/1/14,AM-T1A-A99X-HRT01,TE_5/1/13,right_only
950,AMSTERDAM,AM-T1A-HRT03,GE_1/1/6,MAN-T1A-UKUX-HRT01,GE_1/1/6,right_only
951,AMSTERDAM,AM-T1A-HRT03,TE_1/2/2,PAR-T1A-P96X-HCR01,TE_1/2/2,right_only
952,BUDAPEST,BUD-T1A-RT01,GI2/1/4,BUD-T1A-RT02,GI2/1/1,right_only
953,BUDAPEST,BUD-T1A-RT01,GI3/0/1,BUD-T1A-RT02,GI3/0/1,right_only
954,BUDAPEST,BUD-T1A-RT01,GI3/0/0,BUD-T1A-RT02,GI3/0/0,right_only
955,BUDAPEST,BUD-T1A-RT01,GI2/1/0,FFT-T1A-FNM-HCR01,GE_3/1/10,right_only
956,BUDAPEST,BUD-T1A-RT02,GI2/1/1,BUD-T1A-RT01,GI2/1/4,right_only
957,BUDAPEST,BUD-T1A-RT02,GI3/0/3,FFT2-T1A-FEQX-HRT01,GE_1/1/2,right_only
958,BUDAPEST,BUD-T1A-RT02,GI3/0/1,BUD-T1A-RT01,GI3/0/1,right_only
959,BUDAPEST,BUD-T1A-RT02,GI3/0/0,BUD-T1A-RT01,GI3/0/0,right_only
960,BRUSSELS,BRU-T1A-RT01,GI2/0/0,PAR-T1A-P96X-HCR02,GE_1/1/7,right_only
961,BRUSSELS,BRU-T1A-RT01,GI7/1/0,LN2-T1A-LDNX-HRT02,GE_5/1/1,right_only
962,CRESSEX,CRX-T1A-HW1X-HRT02,TE_5/1/14,HBG-T1A-HB9X-HRT01,TE_5/1/14,right_only
963,CRESSEX,CRX-T1A-HW1X-HRT99,TE_2/1/13,CRX-T1A-HW1X-HRT02,TE_5/1/13,right_only
964,CRESSEX,CRX-T1A-HW1X-HRT99,TE_1/1/13,CRX-T1A-HW1X-HRT02,TE_2/2/2,right_only
965,CRESSEX,CRX-T1A-HW1X-HRT99,GE_2/1/7:108,GIN-HW1-THAR2,GE-0/3/8,right_only
966,COPENHAGEN,COP-T1A-ACPHB-HRT01,GE_1/1/1,STO-T1A-STKX-HRT01,GE_1/3/4,right_only
967,COPENHAGEN,COP-T1A-ACPHB-HRT01,TE_1/2/13,AM-T1A-A99X-HRT01,TE_2/2/2,right_only
968,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_3/1/7,FFT-T1A-RT07-ASBR,GI0/0/1,right_only
969,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_2/1/11,MIL-T1A-RT02,GI2/2/3,right_only
970,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_3/1/14,FFT-T1A-FNM-HPE01,TE_2/1/13,right_only
971,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_4/1/2,AM-T1A-HRT03,TE_4/1/2,right_only
972,FRANKFURT I,FFT-T1A-FNM-HCR01,STM4_4/2/1,MOS-T1A-RT02,POS2/2/0,right_only
973,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_2/2/2,FFT-T1A-FNMX-HCR02,TE_5/1/13,right_only
974,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_2/2/1,FFT3-T1A-FR1X-HRT01,TE_1/1/13,right_only
975,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_3/1/4,FFT-T1A-RT07-ASBR,GI0/0/3,right_only
976,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_2/1/13,COP-T1A-ACPHB-HRT01,TE_2/1/13,right_only
977,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_2/1/5,IST-T1A-RT01,GI3/0/2,right_only
978,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_2/2/3,MIL-T1A-ITMX-HRT01,TE_5/1/13,right_only
979,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_2/1/9,HEL1-T1A-HRT01,GE_2/1/2,right_only
980,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_2/1/14,FFT-T1A-HPE02,TE_5/1/13,right_only
981,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_3/1/10,BUD-T1A-RT01,GI2/1/0,right_only
982,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_1/1/1,AM-T1A-HRT03,TE_1/2/1,right_only
983,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_3/1/8,IST2-T1A-HRT01,GE_1/8/3,right_only
984,FRANKFURT I,FFT-T1A-FNM-HCR01,TE_4/1/4,FFT-T1A-FNMX-HCR02,TE_1/1/13,right_only
985,FRANKFURT I,FFT-T1A-FNM-HCR01,GE_2/1/1,ZU-T1A-RT01,GI2/1/1,right_only
986,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_5/1/13,FFT-T1A-FNM-HCR01,TE_2/2/2,right_only
987,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_1/1/13,FFT-T1A-FNM-HCR01,TE_4/1/4,right_only
988,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_1/2/1,FFT-T1A-FNM-HPE01,TE_5/1/14,right_only
989,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_5/1/14,FFT-T1A-HPE02,TE_3/1/14,right_only
990,FRANKFURT I,FFT-T1A-FNMX-HCR02,GE_5/1/4,FFT-T1A-RT07-ASBR,GI1/0/0,right_only
991,FRANKFURT I,FFT-T1A-FNMX-HCR02,GE_5/1/5,FFT-T1A-RT07-ASBR,GI1/0/2,right_only
992,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_1/1/14,PAR-T1A-P96X-HCR01,TE_1/1/14,right_only
993,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_3/1/1,PAR-T1A-P96X-HCR01,TE_1/2/1,right_only
994,FRANKFURT I,FFT-T1A-FNMX-HCR02,GE_1/1/5,IST2-T1A-HRT01,GE_1/8/2,right_only
995,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_1/2/4,MUN-T1A-MU1X-HRT01,TE_1/1/13,right_only
996,FRANKFURT I,FFT-T1A-FNMX-HCR02,GE_1/1/6,STO-T1A-STKX-HRT02,GE_1/1/13,right_only
997,FRANKFURT I,FFT-T1A-FNMX-HCR02,GE_5/1/7,WA-T1A-WZNX-HPE01,GE_1/11/4,right_only
998,FRANKFURT I,FFT-T1A-FNMX-HCR02,TE_3/1/4,FFT2-T1A-FEQ-RT02,TE8/1,right_only
999,FRANKFURT I,FFT-T1A-FNM-HPE01,TE_5/1/14,FFT-T1A-FNMX-HCR02,TE_1/2/1,right_only
1000,FRANKFURT I,FFT-T1A-FNM-HPE01,TE_2/1/13,FFT-T1A-FNM-HCR01,TE_3/1/14,right_only
1001,FRANKFURT I,FFT-T1A-HPE02,TE_5/1/13,FFT-T1A-FNM-HCR01,TE_2/1/14,right_only
1002,FRANKFURT I,FFT-T1A-HPE02,TE_3/1/14,FFT-T1A-FNMX-HCR02,TE_5/1/14,right_only
1003,FRANKFURT II,FFT2-T1A-FEQ-RT01,GI2/1/4,FFT2-T1A-FEQX-HRT01,GE_1/1/1,right_only
1004,FRANKFURT II,FFT2-T1A-FEQ-RT01,GI3/0/1,FFT2-T1A-FEQ-RT02,GI3/0/1,right_only
1005,FRANKFURT II,FFT2-T1A-FEQ-RT01,GI3/0/0,FFT2-T1A-FEQ-RT02,GI3/0/0,right_only
1006,FRANKFURT II,FFT2-T1A-FEQ-RT02,TE8/1,FFT-T1A-FNMX-HCR02,TE_3/1/4,right_only
1007,FRANKFURT II,FFT2-T1A-FEQ-RT02,GI7/2,FFT2-T1A-FEQX-HRT01,GE_5/1/2,right_only
1008,FRANKFURT II,FFT2-T1A-FEQ-RT02,GI7/1,FFT2-T1A-FEQX-HRT01,GE_5/1/1,right_only
1009,FRANKFURT II,FFT2-T1A-FEQ-RT02,TE4/2,FFT2-T1A-FEQX-HRT01,TE_1/1/13,right_only
1010,FRANKFURT II,FFT2-T1A-FEQ-RT02,TE4/1,MUN-T1A-MU1X-HRT01,TE_5/1/13,right_only
1011,FRANKFURT II,FFT2-T1A-FEQ-RT02,GI3/0/1,FFT2-T1A-FEQ-RT01,GI3/0/1,right_only
1012,FRANKFURT II,FFT2-T1A-FEQ-RT02,GI3/0/0,FFT2-T1A-FEQ-RT01,GI3/0/0,right_only
1013,FRANKFURT II,FFT2-T1A-FEQ-RT02,GI2/1/3,WA-T1A-WZNX-HPE02,GE_1/9/3,right_only
1014,FRANKFURT II,FFT2-T1A-FEQX-HRT01,GE_1/1/1,FFT2-T1A-FEQ-RT01,GI2/1/4,right_only
1015,FRANKFURT II,FFT2-T1A-FEQX-HRT01,GE_5/1/1,FFT2-T1A-FEQ-RT02,GI7/1,right_only
1016,FRANKFURT II,FFT2-T1A-FEQX-HRT01,GE_5/1/2,FFT2-T1A-FEQ-RT02,GI7/2,right_only
1017,FRANKFURT II,FFT2-T1A-FEQX-HRT01,TE_5/1/13,FFT3-T1A-FR1X-HRT01,TE_5/1/13,right_only
1018,FRANKFURT II,FFT2-T1A-FEQX-HRT01,TE_1/1/13,FFT2-T1A-FEQ-RT02,TE4/2,right_only
1019,FRANKFURT II,FFT2-T1A-FEQX-HRT01,GE_1/1/2,BUD-T1A-RT02,GI/0/3,right_only
1020,FRANKFURT II,FFT2-T1A-FEQX-HRT01,TE_2/1/13,PAR-T1A-CR02,TE7/1,right_only
1021,PARIS I,PAR-T1A-RT01,GI1/1/1,PAR-T1A-CR02,GI4/1/0,right_only
1022,PARIS I,PAR-T1A-RT01,GI1/1/1,PAR-T1A-CR02,GI4/1/0,right_only
1023,PARIS I,PAR-T1A-RT01,GI1/1/0,PAR-T1A-P96X-HCR01,GE_5/2/12,right_only
1024,PARIS I,PAR-T1A-RT01,GI1/1/0,PAR-T1A-P96X-HCR01,GE_5/2/12,right_only
1025,PARIS I,PAR-T1A-RT01,GI2/2/1,PAR-T1A-CR02,GI4/1/3,right_only
1026,PARIS I,PAR-T1A-RT01,GI2/2/1,PAR-T1A-CR02,GI4/1/3,right_only
1027,PARIS I,PAR-T1A-RT01,GI2/2/0,PAR-T1A-P96X-HCR01,GE_1/1/1,right_only
1028,PARIS I,PAR-T1A-RT01,GI2/2/0,PAR-T1A-P96X-HCR01,GE_1/1/1,right_only
1029,LONDON,LN-T1A-HCR01,TE_2/1/14,LN-T1A-L78X-HCR02,TE_5/2/1,right_only
1030,LONDON,LN-T1A-HCR01,TE_3/1/14,PAR-T1A-P96X-HCR01,TE_5/2/14,right_only
1031,LONDON,LN-T1A-HCR01,STM16_5/1/2,DU-T1A-RT01,POS9/2/0,right_only
1032,LONDON,LN-T1A-HCR01,GE_3/1/4,CAP-T1A-RT02,GIGABITETHERNET0/3,right_only
1033,LONDON,LN-T1A-HCR01,GE_2/1/7,ABI-T1A-V38X-HRT01,GE_1/3/1,right_only
1034,LONDON,LN-T1A-HCR01,GE_3/1/6,LN-T1A-L78X-HRV01,GE_1/1/1,right_only
1035,LONDON,LN-T1A-HCR01,STM1_4/2/3,LAG-T1A-RT01,POS1/1/0,right_only
1036,LONDON,LN-T1A-HCR01,TE_1/2/2,CRX-T1A-HW1X-HRT01,TE_5/1/14,right_only
1037,LONDON,LN-T1A-HCR01,TE_1/2/1,LN2-T1A-LDNX-HRT02,TE_1/1/13,right_only
1038,LONDON,LN-T1A-HCR01,GE_2/1/5,LN-T1A-RT02,GIGABITETHERNET0/1,right_only
1039,LONDON,LN-T1A-HCR01,TE_4/1/3,PAR-T1A-P96X-HCR01,TE_2/2/1,right_only
1040,LONDON,LN-T1A-HCR01,GE_2/1/11,MU-ME01-HCR01,GE_8/2/4,right_only
1041,LONDON,LN-T1A-HCR01,GE_3/1/10,MU-ME01-HCR01,GE_8/2/3,right_only
1042,LONDON,LN-T1A-HCR01,GE_3/1/11,MU-ME01-HCR01,GE_8/2/8,right_only
1043,LONDON,LN-T1A-HCR01,TE_4/1/4,MU-ME01-HCR01,TE_2/1/3,right_only
1044,LONDON,LN-T1A-HCR01,TE_1/2/3,MA-T1A-WV6X-HRT01,TE_1/1/14,right_only
1045,LONDON,LN-T1A-HCR01,STM4_4/2/16,CAP-T1A-EAGX-HRT01,STM4_3/2/9,right_only
1046,LONDON,LN-T1A-HCR01,GE_2/1/8,MAN-T1A-UKUX-HRT01,GE_5/1/2,right_only
1047,LONDON,LN-T1A-HCR01,GE_3/1/8,DJI-T1A-YPQX-HRT01,GE_1/1/17,right_only
1048,LONDON,LN-T1A-HCR01,TE-4/1/2,LN-T1A-L78X-HCR02,P2/2/4,right_only
1049,LONDON,LN-T1A-HCR01,STM1_4/2/15,CAI-T1A-WE7X-HRT01,STM1_1/6/1,right_only
1050,PARIS I,PAR-T1A-RT03,GI7/0/0,PAR-T1A-P96X-HCR02,GE_1/1/2,right_only
1051,PARIS I,PAR-T1A-RT03,GI2/1/3,PAR-T1A-P96X-HCR02,GE_1/1/1,right_only
1052,PARIS I,PAR-T1A-RT03,GI3/0/3,PAR-T1A-P96X-HCR01,GE_5/2/2,right_only
1053,PARIS I,PAR-T1A-RT03,GI2/0/0,PAR-T1A-P96X-HCR01,GE_5/2/1,right_only
1054,PARIS I,PAR-T1A-RT03,GI2/0/1,PAR-T1A-CR02,GI4/1/4,right_only
1055,PARIS I,PAR-T1A-RT03,GI3/1/0,PAR-T1A-CR02,GI4/1/2,right_only
1056,PARIS I,PAR-T1A-CR02,TE2/2,PAR-T1A-P96X-HCR01,TE_1/2/3,right_only
1057,PARIS I,PAR-T1A-CR02,GI4/1/4,PAR-T1A-RT03,GI2/0/1,right_only
1058,PARIS I,PAR-T1A-CR02,GI4/1/2,PAR-T1A-RT03,GI3/1/0,right_only
1059,PARIS I,PAR-T1A-CR02,GI4/1/3,PAR-T1A-RT01,GI2/2/1,right_only
1060,PARIS I,PAR-T1A-CR02,GI4/1/0,PAR-T1A-RT01,GI1/1/1,right_only
1061,PARIS I,PAR-T1A-CR02,TE9/2,PAR-T1A-P96X-HCR01,TE_1/1/13,right_only
1062,PARIS I,PAR-T1A-CR02,TE3/2,PAR-T1A-PV0X-HPE01,TE_5/1/13,right_only
1063,PARIS I,PAR-T1A-PV0X-HPE01,TE_2/1/4,PAR-T1A-P96X-HCR02,TE_3/1/1,right_only
1064,PARIS I,PAR-T1A-PV0X-HPE01,TE_5/1/13,PAR-T1A-CR02,TE3/2,right_only
1065,PARIS I,PAR-T1A-PV0X-HPE01,GE_2/2/20,MA-T1A-WV6X-HRT01,GE_3/2/20,right_only
1066,PARIS I,PAR-T1A-PV0X-HPE01,TE_1/1/14,PAR-T1A-P96X-HCR01,TE_2/2/3,right_only
1067,PARIS I,PAR-T1A-P96X-HCR01,TE_1/1/13,PAR-T1A-CR02,TE9/2,right_only
1068,PARIS I,PAR-T1A-P96X-HCR01,TE_5/2/13,PAR2-T1A-PVUX-HRT02,TE_1/2/1,right_only
1069,PARIS I,PAR-T1A-P96X-HCR01,TE_1/1/14,FFT-T1A-FNMX-HCR02,TE_1/1/14,right_only
1070,PARIS I,PAR-T1A-P96X-HCR01,GE_5/2/2,PAR-T1A-RT03,GI3/0/3,right_only
1071,PARIS I,PAR-T1A-P96X-HCR01,GE_1/1/1,PAR-T1A-RT01,GI2/2/0,right_only
1072,PARIS I,PAR-T1A-P96X-HCR01,GE_5/2/1,PAR-T1A-RT03,GI2/0/0,right_only
1073,PARIS I,PAR-T1A-P96X-HCR01,GE_5/2/12,PAR-T1A-RT01,GI1/1/0,right_only
1074,PARIS I,PAR-T1A-P96X-HCR01,TE_1/2/1,FFT-T1A-FNMX-HCR02,TE_3/1/1,right_only
1075,PARIS I,PAR-T1A-P96X-HCR01,GE_1/1/4,PAR2-T1A-RT01,GI3/0/3,right_only
1076,PARIS I,PAR-T1A-P96X-HCR01,STM1_5/1/1,MA-T1A-WV6X-HRT01,STM1_3/1/1,right_only
1077,PARIS I,PAR-T1A-P96X-HCR01,GE_5/2/3,GEN-T1A-GVSX-HRT01,GE_5/1/2,right_only
1078,PARIS I,PAR-T1A-P96X-HCR01,TE_2/2/1,LN-T1A-HCR01,TE_4/1/3,right_only
1079,PARIS I,PAR-T1A-P96X-HCR01,TE_5/2/14,LN-T1A-HCR02,TE_3/1/14,right_only
1080,PARIS I,PAR-T1A-P96X-HCR01,TE_2/2/3,PAR-T1A-PV0X-HPE01,TE_1/1/14,right_only
1081,PARIS I,PAR-T1A-P96X-HCR01,GE_1/1/5,MIL-T1A-RT02,GI2/2/2,right_only
1082,PARIS I,PAR-T1A-P96X-HCR01,TE_2/2/2,PAR-T1A-P96X-HCR02,TE_1/1/14,right_only
1083,PARIS I,PAR-T1A-P96X-HCR01,GE_5/1/15,DUR-T1A-EAOX-HRT01,GE_2/2/9,right_only
1084,PARIS I,PAR-T1A-P96X-HCR01,GE_5/2/8,LSB-T1A-PV9X-HRT01,GE_1/6/1,right_only
1085,PARIS I,PAR-T1A-P96X-HCR01,TE_1/2/2,AM-T1A-HRT03,TE_1/2/2,right_only
1086,PARIS I,PAR-T1A-P96X-HCR01,TE_1/2/4,PAR-T1A-P96X-HCR02,TE_3/2/2,right_only
1087,PARIS I,PAR-T1A-P96X-HCR01,TE_1/2/3,PAR-T1A-CR02,TE2/2,right_only
1088,PARIS I,PAR-T1A-P96X-HCR02,GE_1/1/1,PAR-T1A-RT03,GI2/1/3,right_only
1089,PARIS I,PAR-T1A-P96X-HCR02,GE_1/1/2,PAR-T1A-RT03,GI7/0/0,right_only
1090,PARIS I,PAR-T1A-P96X-HCR02,TE_3/1/1,PAR-T1A-PV0X-HPE01,TE_2/1/4,right_only
1091,PARIS I,PAR-T1A-P96X-HCR02,TE_3/1/2,PAR2-T1A-RT01,TE4/1,right_only
1092,PARIS I,PAR-T1A-P96X-HCR02,TE_3/1/3,LN2-T1A-LDNX-HRT01,TE_4/2/13,right_only
1093,PARIS I,PAR-T1A-P96X-HCR02,TE_1/1/14,PAR-T1A-P96X-HCR01,TE_2/2/2,right_only
1094,PARIS I,PAR-T1A-P96X-HCR02,TE_3/2/2,PAR-T1A-P96X-HCR01,TE_1/2/4,right_only
1095,PARIS I,PAR-T1A-P96X-HCR02,LAG_50,MU-ME01-HCR01,LAG_50,right_only
1096,PARIS I,PAR-T1A-P96X-HCR02,STM16_5/2/1,DU-T1A-RT03,POS9/2/0,right_only
1097,PARIS I,PAR-T1A-P96X-HCR02,GE_1/1/7,BRU-T1A-RT01,GI2/0/0,right_only
1098,PARIS I,PAR-T1A-P96X-HCR02,TE_3/2/1,AM-T1A-HRT03,TE_2/1/13,right_only
1099,PARIS I,PAR-T1A-P96X-HCR02,TE_5/1/1,FFT2-T1A-FEQX-HRT01,TE_2/1/13,right_only
1100,PARIS I,PAR-T1A-P96X-HCR02,TE_1/1/13,NY-T1A-N99X-HCR01,TE_1/1/13,right_only
1101,PARIS I,PAR-T1A-P96X-HCR02,TE_5/1/4,SI2-T1A-SVQX-HCR02,TE_5/2/2,right_only
1102,PARIS I,PAR-T1A-P96X-HCR02,TE_3/2/4,NY-T1A-N99X-HCR01,TE_2/2/4,right_only
1103,BAHRAIN,BAH-T1A-HRT01,P1/12/2,DOH-T1A-RT01,POS0/1/0,right_only
1104,BAHRAIN,BAH-T1A-HRT01,P1/11/1,RYD-T1A-RT01,POS3/1/0,right_only
